name,ra,dec,distance_pc,ra_ssz,dec_ssz,distance_ssz_pc,xi,D_ssz,stretch_factor,phot_g_mean_mag,parallax
Star-69,313.1361327596479,-16.974558468206272,5.620149134079134,313.1361327596479,-16.974558468206272,11.240298268158268,1.0,0.5,2.0,10.081701,177.93122142191174
Star-70,278.90744884954285,32.994787158699616,5.688509718027581,278.90744884954285,32.994787158699616,11.377019436055162,1.0,0.5,2.0,14.850962,175.79296679952537
Star-71,82.86754111476276,-3.6865276019053095,5.704079110514413,82.86754111476276,-3.6865276019053095,11.408158221028826,1.0,0.5,2.0,7.1082892,175.31313655111924
Star-72,224.97665286074596,-18.53775641089888,5.746290772483888,224.97665286074596,-18.53775641089888,11.492581544967775,1.0,0.5,2.0,20.435377,174.02530425165742
Star-73,92.64357908167638,-21.86782311323394,5.761231991098029,92.64357908167638,-21.86782311323394,11.522463982196058,1.0,0.5,2.0,7.3134713,173.57398583239672
Star-74,293.09759805108064,69.65345106254792,5.763891077773407,293.09759805108064,69.65345106254792,11.527782155546815,1.0,0.5,2.0,4.449041,173.49391001786597
Star-75,85.547707594821,12.482359917793618,5.791185005001267,85.547707594821,12.482359917793618,11.582370010002535,1.0,0.5,2.0,10.11378,172.67623105398982
Star-76,224.37159427348143,-21.42314039626168,5.886360157633197,224.37159427348143,-21.42314039626168,11.772720315266394,1.0,0.5,2.0,5.3640366,169.8842702825854
Star-77,266.6334444727895,-57.32506180218072,5.889136001075998,266.6334444727895,-57.32506180218072,11.778272002151995,1.0,0.5,2.0,9.592273,169.8041953551915
Star-78,290.20411626707914,-45.57110617010142,5.90894022941132,290.20411626707914,-45.57110617010142,11.81788045882264,1.0,0.5,2.0,10.752913,169.23508466417934
Star-79,357.3066038231343,2.3969179441959985,5.909595145046433,357.3066038231343,2.3969179441959985,11.819190290092866,1.0,0.5,2.0,8.152917,169.21632962255026
Star-80,289.2276515036191,5.162976302668586,5.915007075883356,289.2276515036191,5.162976302668586,11.830014151766711,1.0,0.5,2.0,8.099911,169.06150528157374
Star-81,233.0469274248337,-41.28017408697192,5.917282054313164,233.0469274248337,-41.28017408697192,11.834564108626328,1.0,0.5,2.0,8.2741785,168.9965073189456
Star-82,289.2373736967538,5.14437331543419,5.918781039368104,289.2373736967538,5.14437331543419,11.837562078736209,1.0,0.5,2.0,14.3032875,168.95370741857366
Star-83,12.285227381524424,57.81272812559009,5.923042138328477,12.285227381524424,57.81272812559009,11.846084276656955,1.0,0.5,2.0,3.3200667,168.83216034019418
Star-84,12.281184764215306,57.815739188554126,5.927030155764452,12.281184764215306,57.815739188554126,11.854060311528904,1.0,0.5,2.0,6.762044,168.71856118825883
Star-85,258.83511696459266,-26.60789783205067,5.947768672408884,258.83511696459266,-26.60789783205067,11.895537344817768,1.0,0.5,2.0,4.828591,168.13027793748972
Star-86,258.83412017812816,-26.606806615399403,5.952271867918357,258.83412017812816,-26.606806615399403,11.904543735836715,1.0,0.5,2.0,4.831335,168.003078856296
Star-87,259.05329410009625,-26.551146094884785,5.953738988087766,259.05329410009625,-26.551146094884785,11.907477976175532,1.0,0.5,2.0,5.889863,167.9616795430231
Star-88,116.1658359308822,3.5504844454883244,5.988852474811047,116.1658359308822,3.5504844454883244,11.977704949622094,1.0,0.5,2.0,9.692206,166.97689652666736
